"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SCD.1",4.40302800392085e-34,-0.600031569983879,0.029,0.13,9.62237739976862e-30,"Acinar","SCD"
"NDFIP1.1",4.71456413790074e-34,-0.412176344924575,0.04,0.148,1.03032084669683e-29,"Acinar","NDFIP1"
"VOPP1.1",5.89081350648335e-34,-0.600351437236504,0.026,0.124,1.28737838370687e-29,"Acinar","VOPP1"
"MTND2P28.2",6.65053293328414e-34,-0.571215447099779,0.101,0.236,1.45340746723992e-29,"Acinar","MTND2P28"
"CTSB.1",7.60993885938089e-34,-0.561647102100849,0.068,0.19,1.6630760383291e-29,"Acinar","CTSB"
"TMEM59.2",1.12068544555729e-33,-0.420747974108547,0.11,0.253,2.4491459727209e-29,"Acinar","TMEM59"
"H1-10",1.36483536306567e-33,-0.518762502965204,0.035,0.138,2.98271120244371e-29,"Acinar","H1-10"
"G6PC2.1",1.90264436407222e-33,-0.935339397440618,0.034,0.134,4.15803899324344e-29,"Acinar","G6PC2"
"NEUROD1.2",1.91865179591073e-33,-0.678838668485813,0.039,0.144,4.19302163478331e-29,"Acinar","NEUROD1"
"EIF4H.1",2.1822285589766e-33,-0.397142261267837,0.025,0.122,4.76904229278746e-29,"Acinar","EIF4H"
"RPL7A.1",2.39462740823179e-33,0.562521703765998,0.729,0.657,5.23321873794975e-29,"Acinar","RPL7A"
"RTL8C",3.12856708870538e-33,-0.672678551011312,0.045,0.152,6.83717051565673e-29,"Acinar","RTL8C"
"PPP1R1A.2",3.31667671883635e-33,-0.802679726733355,0.038,0.142,7.24826530134496e-29,"Acinar","PPP1R1A"
"PNISR",3.60067802492933e-33,-0.524690880910886,0.04,0.145,7.86892175568056e-29,"Acinar","PNISR"
"UGDH",6.74998586285472e-33,1.49511907874841,0.131,0.061,1.47514191046827e-28,"Acinar","UGDH"
"RPS19.1",9.82416989044121e-33,0.794897365805146,0.474,0.401,2.14697408785702e-28,"Acinar","RPS19"
"SST.3",1.08043421657168e-32,0.289191711919706,0.806,0.751,2.36118093689574e-28,"Acinar","SST"
"RPL15",1.19103530803567e-32,0.460567848849721,0.723,0.688,2.60288856218115e-28,"Acinar","RPL15"
"NPDC1.2",1.71317201141222e-32,-0.45973810476141,0.045,0.152,3.74396611374026e-28,"Acinar","NPDC1"
"RPL41.1",1.82067251286655e-32,0.511957878950131,0.828,0.769,3.97889770961856e-28,"Acinar","RPL41"
"NUCKS1.1",2.9747663349924e-32,-0.376275718080923,0.059,0.174,6.5010543484924e-28,"Acinar","NUCKS1"
"FAM184B.2",4.09797338701833e-32,-0.434134863007554,0.041,0.144,8.95571103998986e-28,"Acinar","FAM184B"
"PIGT.3",4.13431861904229e-32,-0.474313932966141,0.019,0.107,9.03513991005503e-28,"Acinar","PIGT"
"UQCR11.2",4.15866989630754e-32,-0.328547523038155,0.019,0.109,9.0883571913905e-28,"Acinar","UQCR11"
"GDI1.2",4.41742355258204e-32,-0.405920105648539,0.02,0.109,9.65383743181279e-28,"Acinar","GDI1"
"EIF4A2.3",5.1901141275487e-32,-0.456412771924092,0.114,0.253,1.13424754143449e-27,"Acinar","EIF4A2"
"UCHL1.1",6.54211643600649e-32,-0.615432013851768,0.166,0.314,1.42971412592486e-27,"Acinar","UCHL1"
"ENSA.1",1.08550329249512e-31,-0.544834492810635,0.032,0.129,2.37225889541883e-27,"Acinar","ENSA"
"MTND4P12.2",1.1665591880794e-31,-0.361004743868426,0.066,0.183,2.54939844962873e-27,"Acinar","MTND4P12"
"TMED4",1.19315962553141e-31,-0.487853772615933,0.04,0.142,2.60753104563635e-27,"Acinar","TMED4"
"SCG3.2",1.28756446245039e-31,-0.500651640793526,0.06,0.174,2.81384337623908e-27,"Acinar","SCG3"
"KPNB1",1.43694279165022e-31,-0.366866317493988,0.04,0.142,3.14029477687238e-27,"Acinar","KPNB1"
"PAX6.2",1.68148516769744e-31,-0.590206330900614,0.073,0.191,3.67471768548598e-27,"Acinar","PAX6"
"DLK1.1",1.68855684870027e-31,-0.815331360508806,0.253,0.403,3.69017213714956e-27,"Acinar","DLK1"
"SDHC.2",1.69433916394586e-31,-0.432609822278407,0.038,0.136,3.70280880888728e-27,"Acinar","SDHC"
"PDIA3",1.8183265604894e-31,-0.419435593540272,0.112,0.249,3.97377086529353e-27,"Acinar","PDIA3"
"SPCS1.2",2.72882120011788e-31,-0.344600116972676,0.038,0.139,5.96356585073762e-27,"Acinar","SPCS1"
"CD24.2",2.93447249595976e-31,1.18944048109995,0.243,0.152,6.41299619267046e-27,"Acinar","CD24"
"HELLPAR.2",3.12374263374832e-31,-0.573592081542219,0.077,0.189,6.82662715179357e-27,"Acinar","HELLPAR"
"HNRNPK.1",3.23946129989e-31,-0.364412196464773,0.082,0.206,7.0795187247796e-27,"Acinar","HNRNPK"
"CACNA1D.2",3.27640660703346e-31,-0.501903961033003,0.044,0.143,7.16025899901092e-27,"Acinar","CACNA1D"
"TTC3.2",3.40662451624539e-31,-0.323192934055437,0.048,0.153,7.44483721780267e-27,"Acinar","TTC3"
"MORF4L1.1",3.70432053653127e-31,-0.300133068836008,0.099,0.232,8.09542210053544e-27,"Acinar","MORF4L1"
"ATP6AP2.1",4.3072564454893e-31,-0.449678883909313,0.029,0.123,9.41307823597231e-27,"Acinar","ATP6AP2"
"FKBP8.2",5.05920419880163e-31,-0.293167923702015,0.018,0.103,1.10563848560611e-26,"Acinar","FKBP8"
"RPS29",5.32330048768294e-31,0.527322470084852,0.637,0.584,1.16335408857823e-26,"Acinar","RPS29"
"CHST12.2",5.64957867965626e-31,-0.759809265433665,0.124,0.24,1.23465892465208e-26,"Acinar","CHST12"
"GABARAPL2.1",5.73412298174559e-31,-0.299642003646664,0.028,0.121,1.25313523643068e-26,"Acinar","GABARAPL2"
"TUBA1B.1",6.19136871231e-31,-0.52404372517068,0.193,0.35,1.35306171838823e-26,"Acinar","TUBA1B"
"SLC22A17",6.92127968727027e-31,-0.648390032433168,0.042,0.143,1.51257646285605e-26,"Acinar","SLC22A17"
"IRF2BPL.1",1.09635403995657e-30,-0.398479534254489,0.022,0.11,2.3959721189211e-26,"Acinar","IRF2BPL"
"ATP9A.1",1.12303483889577e-30,-0.598611840999519,0.046,0.148,2.45428033692282e-26,"Acinar","ATP9A"
"GRN",1.19244758749715e-30,-0.402802520402646,0.115,0.25,2.60597495771627e-26,"Acinar","GRN"
"LAMP1.1",1.43450380343535e-30,-0.390203367224217,0.111,0.245,3.13496461202762e-26,"Acinar","LAMP1"
"DDB1.1",1.60390122209754e-30,-0.416680832481434,0.016,0.1,3.50516573077197e-26,"Acinar","DDB1"
"CYSTM1.2",1.72697594664788e-30,-0.353192728105707,0.033,0.128,3.77413323380427e-26,"Acinar","CYSTM1"
"ADCYAP1.2",1.93257388144735e-30,-0.921445494378824,0.019,0.103,4.22344696051503e-26,"Acinar","ADCYAP1"
"EEF1A2.3",1.95355071053879e-30,-0.438323083616869,0.028,0.119,4.26928972281148e-26,"Acinar","EEF1A2"
"SKP1.1",2.29950262734692e-30,-0.292734918560315,0.069,0.184,5.02533304180397e-26,"Acinar","SKP1"
"ASAH1",3.05447658387595e-30,-0.561652432650043,0.02,0.106,6.67525312640249e-26,"Acinar","ASAH1"
"MAPRE1.1",3.17801928258267e-30,-0.505194756806653,0.02,0.105,6.94524334015617e-26,"Acinar","MAPRE1"
"TM4SF4.1",3.28136724712002e-30,-0.911974416485994,0.102,0.221,7.17109998185608e-26,"Acinar","TM4SF4"
"RPS4X",3.3190947415521e-30,0.527245936889402,0.616,0.562,7.25354964818797e-26,"Acinar","RPS4X"
"PAFAH1B2.1",4.69828621962425e-30,-0.463619120288347,0.027,0.117,1.02676347043668e-25,"Acinar","PAFAH1B2"
"MRFAP1.2",5.10416420018523e-30,-0.276435712326709,0.047,0.151,1.11546404430848e-25,"Acinar","MRFAP1"
"PFDN5.2",5.28798453419692e-30,-0.323547842226985,0.037,0.133,1.1556361401034e-25,"Acinar","PFDN5"
"NGRN.1",6.61736679635441e-30,-0.307014704782899,0.025,0.113,1.44615933967529e-25,"Acinar","NGRN"
"RPL14.1",6.78873340218836e-30,0.690505907165332,0.524,0.461,1.48360979771424e-25,"Acinar","RPL14"
"ATP6V0C.1",7.04044053028875e-30,-0.30789731530313,0.131,0.273,1.5386178734893e-25,"Acinar","ATP6V0C"
"AHCYL1.2",7.42859434316923e-30,-0.324914183558407,0.083,0.204,1.6234450077562e-25,"Acinar","AHCYL1"
"ABCC8.1",8.27219139621241e-30,-0.631480057594264,0.076,0.191,1.80780470772826e-25,"Acinar","ABCC8"
"CSNK2A1",8.29537115057656e-30,-0.528556543829729,0.074,0.181,1.812870411247e-25,"Acinar","CSNK2A1"
"AC093525.2.1",9.53917007477621e-30,-0.306391683633071,0.131,0.272,2.08469022814159e-25,"Acinar","AC093525.2"
"HMGN2.2",1.0222870757175e-29,-0.463677537604336,0.152,0.296,2.23410617527302e-25,"Acinar","HMGN2"
"ATP1A1.2",1.04143598094023e-29,-0.348672445777145,0.075,0.191,2.27595419274678e-25,"Acinar","ATP1A1"
"NDUFB2.1",1.46855740655171e-29,-0.37098556389672,0.022,0.107,3.20938535627811e-25,"Acinar","NDUFB2"
"ZFP36L1.2",1.49112226473404e-29,0.978016978142028,0.229,0.138,3.25869859734976e-25,"Acinar","ZFP36L1"
"RPS24.1",1.52614104834569e-29,0.530467168838996,0.616,0.549,3.33522864705467e-25,"Acinar","RPS24"
"ARPP19.1",1.77792254786974e-29,-0.346725206104453,0.034,0.127,3.88547193611454e-25,"Acinar","ARPP19"
"NAA20.2",1.83391267705599e-29,-0.443026851465778,0.027,0.116,4.00783276443816e-25,"Acinar","NAA20"
"C11orf58.2",2.15330925922641e-29,-0.398682563851198,0.038,0.132,4.70584205511339e-25,"Acinar","C11orf58"
"IFT22.2",2.36653050268554e-29,-0.591230769213713,0.053,0.151,5.17181576056898e-25,"Acinar","IFT22"
"SURF4.2",2.74505926885304e-29,-0.348649827845957,0.063,0.173,5.99905252615144e-25,"Acinar","SURF4"
"SCARB2.1",2.8467668854644e-29,-0.348731613555831,0.126,0.264,6.22132435149389e-25,"Acinar","SCARB2"
"RPS6KA5.2",3.42618827611677e-29,-0.688538574423648,0.097,0.21,7.48759185862559e-25,"Acinar","RPS6KA5"
"QDPR",3.62383826261579e-29,-0.618589943798876,0.032,0.123,7.91953613912055e-25,"Acinar","QDPR"
"CADM1.2",4.23916298371123e-29,-0.54881438499202,0.035,0.127,9.26426678460251e-25,"Acinar","CADM1"
"DDR1.2",4.31634220780681e-29,-0.401880452047233,0.14,0.28,9.432934260941e-25,"Acinar","DDR1"
"MFSD4B.2",5.03102752876649e-29,-0.576224440029417,0.031,0.118,1.09948075613663e-24,"Acinar","MFSD4B"
"CACNA1A.2",5.76095878456195e-29,-0.427753642862286,0.048,0.145,1.25899993277817e-24,"Acinar","CACNA1A"
"OLMALINC.2",5.85085261820268e-29,-0.523028072193722,0.059,0.16,1.27864533118201e-24,"Acinar","OLMALINC"
"N4BP2L2",6.08806022991883e-29,-0.426300249598597,0.021,0.104,1.33048468264646e-24,"Acinar","N4BP2L2"
"C2CD4B.3",6.91884292117352e-29,-0.698857628752634,0.043,0.139,1.51204393199326e-24,"Acinar","C2CD4B"
"AC079250.1.1",7.48921398416789e-29,0.729586975329927,0.27,0.172,1.63669282410005e-24,"Acinar","AC079250.1"
"KIAA1324.1",7.57578104914101e-29,-0.512117005528005,0.128,0.258,1.65561119047928e-24,"Acinar","KIAA1324"
"AC006511.4.3",8.45306393258439e-29,-0.289611038350563,0.035,0.128,1.84733259182699e-24,"Acinar","AC006511.4"
"TACSTD2.3",9.21210757870225e-29,0.963944229162214,0.178,0.096,2.01321399024959e-24,"Acinar","TACSTD2"
"C12orf75.1",1.01833645724308e-28,-0.402654642522316,0.031,0.12,2.22547249365903e-24,"Acinar","C12orf75"
"GAPDHP35.2",1.16606335652904e-28,-0.467267008343607,0.044,0.141,2.54831485935856e-24,"Acinar","GAPDHP35"
"IGFBP7.3",1.16873128486821e-28,-0.671489306265408,0.057,0.16,2.55414534995098e-24,"Acinar","IGFBP7"
"SSR4.2",1.41701602419212e-28,-0.328212087021451,0.065,0.174,3.09674681926946e-24,"Acinar","SSR4"
"CD164.1",1.42181800434406e-28,-0.351828880919449,0.043,0.14,3.10724106669351e-24,"Acinar","CD164"
"YIPF4.2",1.61133762527114e-28,-0.422288362391566,0.055,0.155,3.52141724626755e-24,"Acinar","YIPF4"
"ZMAT3.2",1.71623177413788e-28,-0.514559855866423,0.08,0.188,3.75065291920092e-24,"Acinar","ZMAT3"
"CUTA.1",1.7879868769704e-28,-0.389204758064179,0.037,0.13,3.90746652093112e-24,"Acinar","CUTA"
"USP8",1.95383547244002e-28,-0.447346968983702,0.029,0.115,4.26991204147042e-24,"Acinar","USP8"
"ATP6V1E1.1",2.03321167923572e-28,-0.335627392962949,0.045,0.141,4.44338080380174e-24,"Acinar","ATP6V1E1"
"IFIT3.1",2.33488551755907e-28,-0.5716245449042,0.034,0.122,5.10265881007359e-24,"Acinar","IFIT3"
"ATP6V1D.2",2.51087946596068e-28,-0.44152262708599,0.027,0.113,5.48727598491048e-24,"Acinar","ATP6V1D"
"VAMP2.2",2.60882413362686e-28,-0.305790587678203,0.063,0.17,5.70132426162813e-24,"Acinar","VAMP2"
"YWHAH.2",2.63333530930359e-28,-0.298811342276977,0.04,0.135,5.75489098495207e-24,"Acinar","YWHAH"
"LDLR",2.92306165074453e-28,-0.563967243581919,0.037,0.126,6.3880589315371e-24,"Acinar","LDLR"
"ATP6V1G1.1",3.1082965304801e-28,-0.33113880034714,0.113,0.242,6.79287123771122e-24,"Acinar","ATP6V1G1"
"ATRAID.1",3.31487862647671e-28,-0.405196960908407,0.037,0.129,7.2443357503022e-24,"Acinar","ATRAID"
"HIPK2",3.65417986211088e-28,-0.397056928458822,0.039,0.132,7.98584467065711e-24,"Acinar","HIPK2"
"APLP1.2",3.94080981433532e-28,-0.409859165811468,0.03,0.118,8.61224576824841e-24,"Acinar","APLP1"
"MEIS2.1",4.20796852167231e-28,-0.533419035138694,0.024,0.107,9.19609440726267e-24,"Acinar","MEIS2"
"ZKSCAN1.1",6.24593865485438e-28,-0.315991968184491,0.055,0.155,1.36498743363188e-23,"Acinar","ZKSCAN1"
"RPS12.1",7.22198373519082e-28,0.698632219191134,0.56,0.475,1.5782923254886e-23,"Acinar","RPS12"
"B2M.2",7.68801690356708e-28,0.477450905016531,0.664,0.611,1.68013921410555e-23,"Acinar","B2M"
"CTSZ",8.61619342640796e-28,-0.474629085689502,0.052,0.151,1.8829829114072e-23,"Acinar","CTSZ"
"PPT1.2",8.76849450297431e-28,-0.478230862082562,0.032,0.12,1.91626678868001e-23,"Acinar","PPT1"
"TIMP2.1",1.0555447263343e-27,-0.461843537248222,0.118,0.245,2.30678744493098e-23,"Acinar","TIMP2"
"MTRNR2L12.2",1.11089052203832e-27,-0.506293001600354,0.024,0.105,2.42774014686254e-23,"Acinar","MTRNR2L12"
"METRN.2",1.17803589088945e-27,-0.43951475984938,0.031,0.117,2.5744796359498e-23,"Acinar","METRN"
"PAIP2.1",1.2631249879934e-27,-0.29317344464292,0.022,0.103,2.76043334876077e-23,"Acinar","PAIP2"
"SLC7A8.2",1.37289802186798e-27,-0.462101171581102,0.022,0.103,3.00033133699028e-23,"Acinar","SLC7A8"
"ARFGEF3.1",1.54985834769877e-27,-0.354727387480585,0.06,0.164,3.38706043306089e-23,"Acinar","ARFGEF3"
"PLXNB2",2.5541118096396e-27,-0.392870074471946,0.046,0.141,5.58175594878639e-23,"Acinar","PLXNB2"
"POLR1C.2",2.87709904957088e-27,-0.334697317674797,0.023,0.103,6.28761226293219e-23,"Acinar","POLR1C"
"CNPY2.1",2.97463188987349e-27,-0.375945037716153,0.024,0.103,6.50076053212952e-23,"Acinar","CNPY2"
"VAT1.2",3.73314041004627e-27,-0.305806128476238,0.032,0.119,8.15840505211512e-23,"Acinar","VAT1"
"AC244197.3.2",4.14093913732355e-27,-0.444785067673096,0.086,0.197,9.04960839070688e-23,"Acinar","AC244197.3"
"SOD2.1",4.68434165270685e-27,0.819421948268606,0.142,0.072,1.02371602478255e-22,"Acinar","SOD2.1"
"UQCRB.2",4.89709540029554e-27,-0.298805153817971,0.114,0.239,1.07021122878059e-22,"Acinar","UQCRB"
"HLA-C.2",5.09178091600974e-27,-0.2638955398068,0.063,0.167,1.11275780138477e-22,"Acinar","HLA-C"
"RPL13P12.1",5.14112998149781e-27,0.656557499215427,0.276,0.177,1.12354254615653e-22,"Acinar","RPL13P12"
"MAGED2.1",5.19465473968615e-27,-0.435117364694835,0.042,0.133,1.13523984681101e-22,"Acinar","MAGED2"
"PTPRN2.2",6.30858717562073e-27,-0.505940179213593,0.041,0.132,1.37867864136016e-22,"Acinar","PTPRN2"
"C1QL1.2",6.40171634713587e-27,-0.539488746444564,0.031,0.116,1.39903109050307e-22,"Acinar","C1QL1"
"CCDC142",6.63634412215684e-27,-0.439155217067228,0.053,0.145,1.45030664445616e-22,"Acinar","CCDC142"
"STAT3.1",7.25877784042965e-27,-0.300178061498232,0.058,0.158,1.5863333092475e-22,"Acinar","STAT3"
"HNRNPA2B1.2",7.29736525790313e-27,-0.265022599348291,0.061,0.163,1.59476620346215e-22,"Acinar","HNRNPA2B1"
"ATP5F1E",7.53929661025104e-27,-0.391735738061239,0.226,0.382,1.64763788120426e-22,"Acinar","ATP5F1E"
"ATP5F1D.1",1.00838543624107e-26,-0.265212870643648,0.028,0.11,2.20372553236123e-22,"Acinar","ATP5F1D"
"ATP5PB",1.03840873644648e-26,-0.332295985368802,0.038,0.127,2.26933845263013e-22,"Acinar","ATP5PB"
"COPA",1.14912543503534e-26,-0.363925420666614,0.066,0.166,2.51129872572623e-22,"Acinar","COPA"
"ATP6V0B.1",1.15831621007857e-26,-0.289778648998893,0.062,0.163,2.53138424550572e-22,"Acinar","ATP6V0B"
"DYNLRB1",1.3199111832839e-26,-0.386391130660375,0.036,0.123,2.88453389994863e-22,"Acinar","DYNLRB1"
"NPC2.1",1.33581986360995e-26,-0.317404482281988,0.087,0.201,2.91930072993318e-22,"Acinar","NPC2"
"MIR7-3HG.2",1.3686563043766e-26,-0.463635660577814,0.039,0.128,2.99106148758463e-22,"Acinar","MIR7-3HG"
"EDN3.3",1.47712539877111e-26,-0.648396065335012,0.022,0.1,3.22810984647438e-22,"Acinar","EDN3"
"SNHG14",1.58752097760049e-26,-0.520393508059552,0.036,0.121,3.46936834444812e-22,"Acinar","SNHG14"
"SLC29A4.1",1.5968098928727e-26,-0.47507740195767,0.051,0.146,3.48966833988399e-22,"Acinar","SLC29A4"
"AL022311.1.2",1.70300145225844e-26,-0.503353913464222,0.08,0.183,3.72173937376559e-22,"Acinar","AL022311.1"
"PSMD8.1",1.97334032415396e-26,-0.3050665269119,0.031,0.115,4.31253794440605e-22,"Acinar","PSMD8"
"PGRMC2.1",2.08057948543594e-26,-0.340560450983918,0.024,0.103,4.5468984074717e-22,"Acinar","PGRMC2"
"PRXL2A",2.25567332634283e-26,-0.399037162077182,0.028,0.109,4.92954848738963e-22,"Acinar","PRXL2A"
"MARCHF6.1",2.56887373122455e-26,-0.382460136692935,0.029,0.111,5.61401665221812e-22,"Acinar","MARCHF6"
"GTF2IP1",3.01110972869962e-26,-0.341915045413861,0.061,0.159,6.58047920110016e-22,"Acinar","GTF2IP1"
"MAGED1.1",3.01516069180432e-26,-0.34761198705514,0.111,0.233,6.58933217586916e-22,"Acinar","MAGED1"
"KDELR1.1",3.18477133430611e-26,-0.290564523192509,0.083,0.194,6.95999927399258e-22,"Acinar","KDELR1"
"FTH1P10.2",3.42545352057699e-26,0.683363461986011,0.238,0.147,7.48598612386896e-22,"Acinar","FTH1P10"
"VKORC1.1",4.12546548456967e-26,-0.336879527130959,0.111,0.231,9.01579226997856e-22,"Acinar","VKORC1"
"TMED3.1",4.44423566409234e-26,-0.288534782459567,0.079,0.187,9.7124326203074e-22,"Acinar","TMED3"
"LPP.1",4.45495853685239e-26,-0.278314787194619,0.059,0.157,9.73586638643721e-22,"Acinar","LPP"
"NUDT3.1",4.47212476015822e-26,-0.349731267790907,0.068,0.17,9.77338145084978e-22,"Acinar","NUDT3"
"TMEM176B.1",5.36711802415607e-26,-0.408443928669265,0.106,0.224,1.17292997299907e-21,"Acinar","TMEM176B"
"HSP90AB1.3",5.94109001715193e-26,-0.364348992258456,0.161,0.299,1.29836581234838e-21,"Acinar","HSP90AB1"
"ACTG1.1",7.12514380525421e-26,0.721678995347542,0.474,0.402,1.55712892720026e-21,"Acinar","ACTG1"
"ATM",7.54213136990178e-26,-0.316335135837151,0.023,0.1,1.64825738957834e-21,"Acinar","ATM"
"FAM153CP.3",7.91601043275622e-26,-0.48033559371272,0.171,0.297,1.72996491997455e-21,"Acinar","FAM153CP"
"TERF2IP.1",9.65285989796758e-26,-0.250659208824164,0.037,0.124,2.10953600210183e-21,"Acinar","TERF2IP"
"MT-CO2",1.15841710732969e-25,-0.343500392930261,0.869,0.91,2.53160474635831e-21,"Acinar","MT-CO2"
"MAFB.2",1.17385410308273e-25,-0.571852640459005,0.03,0.111,2.565340756877e-21,"Acinar","MAFB"
"ATP6AP1.1",1.3120990751398e-25,-0.348240552535637,0.113,0.233,2.86746131881052e-21,"Acinar","ATP6AP1"
"IRS2.1",1.41329206180257e-25,-0.388803221187735,0.037,0.121,3.08860847186334e-21,"Acinar","IRS2"
"DNAJC7",1.76541184524028e-25,-0.307104486579641,0.031,0.112,3.85813104658811e-21,"Acinar","DNAJC7"
"STRAP.1",1.82316200321186e-25,-0.289036699551839,0.024,0.1,3.9843382418192e-21,"Acinar","STRAP"
"SERAC1.2",1.85193403358613e-25,-0.505266722136718,0.046,0.133,4.04721663699913e-21,"Acinar","SERAC1"
"SPPL2A.2",1.99847924935315e-25,-0.453425463333524,0.053,0.142,4.36747655153637e-21,"Acinar","SPPL2A"
"PGK1.2",2.29536610944422e-25,-0.270305742679862,0.094,0.206,5.0162930955794e-21,"Acinar","PGK1"
"CRIP2",2.31093933003092e-25,-0.394204703100435,0.037,0.121,5.05032681184957e-21,"Acinar","CRIP2"
"PDLIM2.1",2.66940078195687e-25,-0.350725678371796,0.038,0.121,5.83370846888855e-21,"Acinar","PDLIM2"
"HLA-B.2",3.03095742943841e-25,-0.460768962005919,0.165,0.297,6.62385436629471e-21,"Acinar","HLA-B"
"SEMA3E.2",3.05357880167073e-25,-0.643339314265579,0.137,0.242,6.67329111317121e-21,"Acinar","SEMA3E"
"LAPTM4B",3.19309319711862e-25,-0.331027771626353,0.095,0.206,6.97818587298302e-21,"Acinar","LAPTM4B"
"BNIP3L.1",3.426857877233e-25,-0.272479169711757,0.025,0.103,7.48905520490499e-21,"Acinar","BNIP3L"
"SDF4.1",3.70647524254464e-25,-0.298472186384696,0.029,0.109,8.10013099505705e-21,"Acinar","SDF4"
"CCT7.1",3.84919371176589e-25,-0.289695308517597,0.034,0.116,8.41202793769318e-21,"Acinar","CCT7"
"TPP1.1",4.08166938722074e-25,-0.348259451897807,0.028,0.107,8.92008027883221e-21,"Acinar","TPP1"
"TPD52.2",4.42508152932365e-25,-0.324504451857647,0.054,0.147,9.6705731741839e-21,"Acinar","TPD52"
"PFN2.1",5.20196040767744e-25,-0.295577061175273,0.042,0.13,1.13683642749383e-20,"Acinar","PFN2"
"L2HGDH",6.2101481266992e-25,-0.289271591819322,0.027,0.104,1.35716577160884e-20,"Acinar","L2HGDH"
"GAD2.2",6.71940771995935e-25,-0.477506373398566,0.054,0.146,1.46845936311992e-20,"Acinar","GAD2"
"PEBP1.1",7.41158776210285e-25,-0.361957184823863,0.252,0.407,1.61972838952996e-20,"Acinar","PEBP1"
"TMEM208",7.99052562879023e-25,-0.35558560811077,0.034,0.116,1.74624947091582e-20,"Acinar","TMEM208"
"DDX24.1",9.44494541138523e-25,-0.344260040028125,0.048,0.138,2.06409837020413e-20,"Acinar","DDX24"
"OAZ1.1",1.038854586564e-24,-0.316667499305269,0.159,0.293,2.27031281347697e-20,"Acinar","OAZ1"
"ASPH.1",1.28313019338991e-24,-0.41509659507191,0.026,0.103,2.80415272463432e-20,"Acinar","ASPH"
"SELENOK.1",1.44199435034389e-24,-0.287259189440976,0.029,0.107,3.15133445324154e-20,"Acinar","SELENOK"
"HADH.2",1.4685948888933e-24,-0.45004691685801,0.038,0.121,3.20946727018742e-20,"Acinar","HADH"
"IGFBP5.2",1.94759031445242e-24,-0.97275675477065,0.076,0.172,4.25626387320433e-20,"Acinar","IGFBP5"
"ACER3.3",3.16763625673325e-24,-0.395618940333829,0.092,0.194,6.92255227546483e-20,"Acinar","ACER3"
"GPX1.3",3.2749572432545e-24,-0.349917739324731,0.03,0.107,7.15709155940839e-20,"Acinar","GPX1"
"HSP90B1.2",3.65531890254598e-24,-0.266222970472001,0.084,0.189,7.98833392962398e-20,"Acinar","HSP90B1"
"ADAM10.2",3.67682546355524e-24,-0.527356534288592,0.092,0.19,8.03533436805361e-20,"Acinar","ADAM10"
"G3BP2.2",4.1996026072555e-24,-0.279334565654763,0.027,0.103,9.17781153789618e-20,"Acinar","G3BP2"
"RHOBTB3.2",4.41573345522184e-24,-0.260502847979733,0.098,0.21,9.6501438930418e-20,"Acinar","RHOBTB3"
"PARK7.1",6.73491501107116e-24,-0.271030414079919,0.085,0.189,1.47184832651949e-19,"Acinar","PARK7"
"PCP4.2",6.76711151362763e-24,-0.435996135058341,0.066,0.162,1.47888455018818e-19,"Acinar","PCP4"
"ENO2.1",7.16912383317107e-24,-0.353714920841595,0.041,0.125,1.56674032250121e-19,"Acinar","ENO2"
"DYNC1H1",1.13305727676431e-23,-0.356806900117398,0.06,0.15,2.47618337264072e-19,"Acinar","DYNC1H1"
"AL031595.3.1",1.32230127035005e-23,-0.448953805238737,0.049,0.132,2.88975719622299e-19,"Acinar","AL031595.3"
"PPP2CA.1",1.52421232567978e-23,-0.337831040845694,0.027,0.101,3.3310136165406e-19,"Acinar","PPP2CA"
"SAT1.3",1.68502037239935e-23,1.01262901863746,0.259,0.18,3.68244352184154e-19,"Acinar","SAT1"
"ELP2.1",1.77751821121798e-23,-0.281091665836555,0.037,0.116,3.88458829879577e-19,"Acinar","ELP2"
"SORL1.2",1.81775402737824e-23,-0.365385161702963,0.04,0.12,3.97251965143241e-19,"Acinar","SORL1"
"DPP6.1",1.85144604225668e-23,-0.47146388725424,0.036,0.115,4.04615018074775e-19,"Acinar","DPP6"
"JAK1.2",2.0038594278499e-23,-0.264856333922568,0.037,0.117,4.37923439362316e-19,"Acinar","JAK1"
"MTCO1P40.1",2.02299938868053e-23,-0.281799956715549,0.029,0.104,4.42106286402244e-19,"Acinar","MTCO1P40"
"DCTN3.1",2.1282140336566e-23,-0.347895503501653,0.03,0.105,4.65099894915313e-19,"Acinar","DCTN3"
"GOLGA2",2.22938538833782e-23,-0.371665021749846,0.037,0.114,4.87209882767348e-19,"Acinar","GOLGA2"
"RBBP5.2",2.73189093953266e-23,-0.394899045575924,0.049,0.131,5.97027445925468e-19,"Acinar","RBBP5"
"VWA5A",3.16613480169281e-23,-0.377180943024455,0.054,0.142,6.91927099561948e-19,"Acinar","VWA5A"
"CLIP1.2",3.35263807781088e-23,-0.45081641812361,0.054,0.136,7.3268552552479e-19,"Acinar","CLIP1"
"CALM2.1",4.1584377052244e-23,-0.290981832844095,0.154,0.283,9.08784976099739e-19,"Acinar","CALM2"
"RAB11A",4.41104330136894e-23,-0.25758404091117,0.045,0.129,9.63989403081167e-19,"Acinar","RAB11A"
"HSP90AA1.2",4.44066558113097e-23,-0.335947422048051,0.148,0.272,9.70463056100362e-19,"Acinar","HSP90AA1"
