"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EEF1B2",1.3395080694626e-96,-0.558343081089728,0.101,0.281,2.92736093500356e-92,"Delta","EEF1B2"
"GAPDHP35",6.13885049298505e-96,-0.638472603363682,0.03,0.163,1.34158438673695e-91,"Delta","GAPDHP35"
"RPL30",1.04514948877054e-95,-0.546206673549505,0.13,0.329,2.28406969275913e-91,"Delta","RPL30"
"TIMP1",5.44076070528656e-95,-1.06809498860447,0.106,0.283,1.18902384453332e-90,"Delta","TIMP1"
"RPL3",9.58923058181137e-95,-0.676740972985081,0.307,0.508,2.09563045134906e-90,"Delta","RPL3"
"FTL",1.19324961544361e-94,-0.758458716648905,0.311,0.532,2.60772770959047e-90,"Delta","FTL"
"RPS17",2.0636024745909e-94,-0.552128740131595,0.148,0.349,4.50979684797096e-90,"Delta","RPS17"
"CAPNS1",3.14604088708122e-94,-0.487381348789071,0.042,0.185,6.87535775462729e-90,"Delta","CAPNS1"
"C12orf54",3.88307379880853e-94,-0.515755805283402,0.012,0.127,8.48606947991617e-90,"Delta","C12orf54"
"FAU",5.77000305582688e-94,-0.496572567301631,0.104,0.287,1.26097646782041e-89,"Delta","FAU"
"RPL10",6.25067569341287e-93,-0.630817413268316,0.367,0.582,1.36602266603845e-88,"Delta","RPL10"
"RPS11",7.79730074819865e-93,-0.616799817490646,0.222,0.446,1.70402210551133e-88,"Delta","RPS11"
"RPL17",1.38004706902523e-91,-0.602393893905316,0.287,0.492,3.01595486464775e-87,"Delta","RPL17"
"TLE5",7.4911813644897e-91,-0.359785695012672,0.055,0.206,1.63712277539558e-86,"Delta","TLE5"
"TMED10",9.69090840058417e-91,-0.395610771511971,0.066,0.223,2.11785112186366e-86,"Delta","TMED10"
"PABPC1",9.91002810269109e-91,-0.39484409774099,0.05,0.196,2.16573754156211e-86,"Delta","PABPC1"
"DDX5",1.20854102788206e-90,-0.389834504846786,0.038,0.174,2.64114556233346e-86,"Delta","DDX5"
"FAM153CP",1.3679368486001e-90,-0.658332611541093,0.15,0.327,2.98948918893065e-86,"Delta","FAM153CP"
"NME2",4.11068095551525e-90,-0.356252111364826,0.029,0.157,8.98348216018303e-86,"Delta","NME2"
"EEF1A2",4.73101318923247e-90,-0.614697096899269,0.02,0.138,1.03391562237486e-85,"Delta","EEF1A2"
"PGK1",1.21576827609417e-89,-0.514925777756915,0.075,0.233,2.65693999057619e-85,"Delta","PGK1"
"SERINC1",1.36894364052462e-89,-0.385548864739315,0.034,0.166,2.99168943200251e-85,"Delta","SERINC1"
"CYSTM1",1.58457450577929e-89,-0.429146416332833,0.025,0.148,3.46292912493005e-85,"Delta","CYSTM1"
"RPS2",2.12927061350851e-89,-0.552536063354626,0.336,0.554,4.6533079987615e-85,"Delta","RPS2"
"PCBP1",8.23328541782263e-89,-0.345888035419933,0.061,0.212,1.79930219521096e-84,"Delta","PCBP1"
"EPCAM",8.40363761543935e-89,-0.368967772657011,0.056,0.204,1.83653096447811e-84,"Delta","EPCAM"
"AC044787.1",1.57164018233796e-88,-0.460485146963221,0.01,0.117,3.43466245448138e-84,"Delta","AC044787.1"
"MZT2B",2.54936272782378e-88,-0.357144343954212,0.037,0.17,5.5713773053861e-84,"Delta","MZT2B"
"JUNB",3.98757166507005e-88,-0.513508873570629,0.127,0.314,8.71443911684409e-84,"Delta","JUNB"
"RPS20",4.12799776247615e-88,-0.545419160932543,0.175,0.368,9.02132631011538e-84,"Delta","RPS20"
"PRRG3",1.18227306015725e-87,1.36333395483251,0.549,0.462,2.58373954566766e-83,"Delta","PRRG3"
"ACTG1",2.3894172332402e-87,-0.651283642335464,0.251,0.466,5.22183242152314e-83,"Delta","ACTG1"
"SSR2",6.74256934306964e-87,-0.335857528538645,0.041,0.175,1.47352110423444e-82,"Delta","SSR2"
"LDB1",7.6802523974908e-87,1.26358646364584,0.537,0.461,1.67844235894764e-82,"Delta","LDB1"
"APP",2.59057068839847e-86,-0.383726343701693,0.08,0.24,5.66143318242602e-82,"Delta","APP"
"NAP1L1",7.60125585883841e-86,-0.333919417807093,0.063,0.212,1.66117845539055e-81,"Delta","NAP1L1"
"DNMT3A",9.35343834870403e-86,1.35480352074406,0.565,0.492,2.04410041672578e-81,"Delta","DNMT3A"
"RPL18A",1.66598226401662e-85,-0.518855276199668,0.305,0.513,3.64083763978192e-81,"Delta","RPL18A"
"SLC25A3",1.91919751378426e-85,-0.366610040882535,0.05,0.187,4.19421424662413e-81,"Delta","SLC25A3"
"ATP1A1",2.02796738079382e-85,-0.427445072161645,0.066,0.215,4.43191991398682e-81,"Delta","ATP1A1"
"RPL31",2.06763970480177e-85,-0.486520606775351,0.214,0.427,4.5186198108738e-81,"Delta","RPL31"
"RPS7",3.72219278618839e-85,-0.588155830152085,0.279,0.459,8.1344801149361e-81,"Delta","RPS7"
"COX4I1",4.3170417686346e-85,-0.324074448181286,0.107,0.284,9.43446308117405e-81,"Delta","COX4I1"
"GPX4",5.42912774375729e-85,-0.292785130746989,0.025,0.144,1.18648157712072e-80,"Delta","GPX4"
"SPINT2",1.41963009224824e-84,-0.484157817785154,0.13,0.304,3.1024596035993e-80,"Delta","SPINT2"
"SURF4",2.11425839235524e-84,-0.389648654841926,0.055,0.196,4.62050029065313e-80,"Delta","SURF4"
"RABAC1",3.92052998283354e-84,-0.462262979990399,0.026,0.144,8.56792622448442e-80,"Delta","RABAC1"
"XBP1",6.00512638418975e-84,-0.424261273984409,0.078,0.234,1.31236032000083e-79,"Delta","XBP1"
"RPL36AL",1.09258669118676e-83,-0.272465846286393,0.06,0.203,2.38773895491954e-79,"Delta","RPL36AL"
